Strategy,Mean,Median,Std,low,high,Time(mus)
GA,1296.11,1271.96,314.163,739.845,2070.52,294.02
DE1,1361.04,1299,357.356,810,2191,756.28
DE2,5810.08,5786,291.114,4779,6374,1146.72
DE3,6011.68,6089,373.894,5073,6851,807.62
DE4,5110.1,5199,464.51,3801,6226,1322.56
DE5,6076.24,6114.5,299.313,5126,6626,1814.16
DE6,2273.2,2187,506.5,1340,3665,1100.16
DE7,7602.32,7624.5,323.222,6505,8197,1702.28
DE8,7060.9,7262.5,844.801,4002,8505,1190.26
DE9,6128.28,6317,931.86,3631,8170,1866.18
DE10,7803.58,7874,277.954,6760,8190,2492.78
PSO,3545.68,3327.85,733.627,2513.31,6582.94,1269.5
MFO,3370.73,3327.87,62.8939,3213.1,3442.61,1462.38
CS,6367.89,6312.22,669.198,5206.11,7446.51,457.1
WOA,1950,1952.68,615.736,118.798,3098.35,1020.14
