Strategy,Mean,Median,Std,low,high,Time(mus)
GA,30.9784,30.938,0.61566,29.6639,32.5812,209
DE1,45.72,45,1.9083,42,51,470.58
DE2,46.02,46.5,1.59361,42,49,556.1
DE3,43.58,44,1.31286,41,46,619.1
DE4,46.8,47,1.35647,43,49,831.22
DE5,46,46,1.78885,42,49,772.34
DE6,53.82,54,3.88685,46,63,581.42
DE7,54.16,54,1.79287,50,58,797.12
DE8,50.3,50,2.46779,46,56,583.34
DE9,55.72,56,2.18211,48,59,906.66
DE10,55.36,56,2.42289,49,59,1186.78
PSO,30.5886,29.8405,1.72267,29.0012,34.7174,2418.4
MFO,60.7445,61.1031,2.03632,56.1954,64.4033,2929.2
CS,49.7245,49.4185,1.90357,45.8168,52.7129,553.7
